id,role,file,aspect,subject_prompt
cover,title key art,cover.png,16:9,"wide establishing view of a small medieval European village at golden dusk seen from a gentle hill, cobbled square, timber-framed houses, a gatehouse, a chapel spire, warm lit windows, a winding path, atmospheric and inviting, cinematic storybook"
map,village map,map.png,1:1,"top-down three-quarter bird's-eye map of a compact medieval walled village, clearly separated buildings on grass and dirt paths: a north gatehouse, a central cobbled market square with a well, a west tavern with a hanging sign, an east chapel with a bell tower, a south stone granary and an archive building, a southwest blacksmith forge, a small warden's stone study cottage, connecting footpaths, tidy game-map layout with open walkable lanes"
player,player sprite,player.png,1:1,"a single full-body young village warden character standing facing the viewer, simple brown tunic with a teal sash and a small satchel, kind determined face, full figure centered, isolated on a plain flat neutral background for cutout, top-down rpg character token style"
npc_aldric,portrait real merchant,npc_aldric.png,3:4,"bust portrait of a weathered kindly old traveling merchant, grey beard, sun-worn face, modest patched travel cloak, honest tired eyes, trustworthy demeanor"
npc_impostor,portrait impostor,npc_impostor.png,3:4,"bust portrait of a smooth confident middle-aged stranger in a too-clean merchant cloak, charming practiced smile, eyes a little too watchful, faint sense something is off"
npc_steward,portrait steward,npc_steward.png,3:4,"bust portrait of a plump officious village steward in a fine but ink-stained robe holding a heavy ring of keys, self-satisfied helpful expression"
npc_tavernkeeper,portrait tavernkeeper,npc_tavernkeeper.png,3:4,"bust portrait of a cheerful talkative middle-aged tavern keeper woman with a apron and rolled sleeves, gossipy warm grin"
npc_captain,portrait captain,npc_captain.png,3:4,"bust portrait of a stern disciplined village guard captain in a worn leather and chainmail jerkin, short cropped hair, scar, serious watchful soldier"
npc_herald,portrait herald,npc_herald.png,3:4,"bust portrait of a young earnest ducal herald in a tabard, holding a rolled parchment with a wax seal, dutiful nervous expression"
prop_signet_real,prop real signet,prop_signet_real.png,1:1,"a single ornate brass merchant signet ring lying flat, crisp clean engraved crest of a stag, well-made, item icon centered on plain flat background"
prop_signet_forged,prop forged signet,prop_signet_forged.png,1:1,"a single brass merchant signet ring lying flat with a slightly crude smeared engraved stag crest, subtly imperfect casting, item icon centered on plain flat background"
prop_letter,prop sealed letter,prop_letter.png,1:1,"a single rolled parchment letter tied with cord and closed with a red wax seal, item icon centered on plain flat background"
prop_cipher,prop cipher wheel,prop_cipher.png,1:1,"a single brass two-disc rotating cipher wheel device with concentric rings of blank engraved cells, antique mechanism, item icon centered on plain flat background"
prop_keyring,prop keyring,prop_keyring.png,1:1,"a single iron ring holding several large old brass and iron keys of different shapes with small blank tags, item icon centered on plain flat background"
prop_gossip,prop gossip note,prop_gossip.png,1:1,"a single small torn scrap of parchment note, item icon centered on plain flat background"
npc_tomas,portrait gate-guard (Act5),npc_tomas.png,3:4,"bust portrait of a young earnest village gate-guard, dented iron kettle helmet pushed back, chainmail collar over a faded blue tabard, anxious dutiful expression"
npc_courier,portrait hooded courier (Act5 red herring),npc_courier.png,3:4,"bust portrait of a shifty hooded courier, grey hood shadowing a clever face, sly half-smile, sealed letter clutched, untrustworthy charming demeanor"
npc_bard,portrait bard (lore),npc_bard.png,3:4,"bust portrait of a cheerful old wandering bard, silver hair and beard, worn fiddle on shoulder, patched colorful minstrel cloak, twinkling storyteller eyes"
npc_sister,portrait chapel sister,npc_sister.png,3:4,"bust portrait of a serene young chapel sister, pale grey wimple and habit, calm devout face, wooden cross pendant, kind eyes"
prop_summons,prop forged ducal summons (Act5),prop_summons.png,1:1,"a rolled parchment summons with a large ducal wax seal that is too perfect and faintly wrong, formal red ribbon, a forged document, item icon on plain background"
cine_summons,cinematic forging the seal (Act4->5 beat),cine_summons.png,16:9,"candlelit night scene, a gloved hand pressing a forged ducal wax seal onto a parchment summons, dripping red wax, signet ring nearby, conspiratorial mood, cinematic storybook"
npc_clerk,portrait reeve/clerk (Act6),npc_clerk.png,3:4,"bust portrait of a meticulous middle-aged village reeve and accounts-keeper, narrow spectacles, ink-stained fingers, quill behind ear, dark scholar's robe, careful precise expression"
prop_ledger,prop sealed ledger (Act6),prop_ledger.png,1:1,"a thick leather-bound medieval accounts ledger book with small round red wax tally seals along the edges and a brass clasp, item icon on plain background"
cine_tamper,cinematic ledger tampering (Act5->6 beat),cine_tamper.png,16:9,"candlelit night scene, a hand scraping and altering a figure in an open accounts ledger, broken wax seal beside it, secretive tampering, cinematic storybook"
